Question,Opt_1,Opt_2,Opt_3,Opt_4,Opt_5
Que tengo que tragar frecuentemente.,Nunca,Ocasional,A veces,Frecuente,Siempre
Que tengo que toser para aclarar mi garganta.,Nunca,Ocasional,A veces,Frecuente,Siempre
Que mi boca se seca.,Nunca,Ocasional,A veces,Frecuente,Siempre
Lo rápido que estoy respirando.,Nunca,Ocasional,A veces,Frecuente,Siempre
Lagrimeo en mis ojos.,Nunca,Ocasional,A veces,Frecuente,Siempre
Ruidos asociados con mi digestión.,Nunca,Ocasional,A veces,Frecuente,Siempre
Sensación de hinchazón en el cuerpo o en partes de mi cuerpo.,Nunca,Ocasional,A veces,Frecuente,Siempre
Sensación de prisa de tener que defecar.,Nunca,Ocasional,A veces,Frecuente,Siempre
Tensión muscular en mis brazos y piernas.,Nunca,Ocasional,A veces,Frecuente,Siempre
Sensación de hinchazón por retención de líquidos.,Nunca,Ocasional,A veces,Frecuente,Siempre
Tensión muscular en mi cara.,Nunca,Ocasional,A veces,Frecuente,Siempre
Cuando se me pone la piel de gallina.,Nunca,Ocasional,A veces,Frecuente,Siempre
Dolor gástrico o intestinal.,Nunca,Ocasional,A veces,Frecuente,Siempre
Distensión o hinchazón del estómago.,Nunca,Ocasional,A veces,Frecuente,Siempre
Sudor en las palmas de las manos.,Nunca,Ocasional,A veces,Frecuente,Siempre
Sudor en mi frente.,Nunca,Ocasional,A veces,Frecuente,Siempre
Un temblor en mis labios.,Nunca,Ocasional,A veces,Frecuente,Siempre
Sudor en las axilas.,Nunca,Ocasional,A veces,Frecuente,Siempre
Temperatura de mi cara (especialmente mis orejas).,Nunca,Ocasional,A veces,Frecuente,Siempre
Cuando rechino los dientes.,Nunca,Ocasional,A veces,Frecuente,Siempre
Sensación de nerviosismo.,Nunca,Ocasional,A veces,Frecuente,Siempre
Sensación de tener los pelos de la nuca “se erizan”.,Nunca,Ocasional,A veces,Frecuente,Siempre
Dificultad para enfocar la vista.,Nunca,Ocasional,A veces,Frecuente,Siempre
Urgencia de tener que tragar.,Nunca,Ocasional,A veces,Frecuente,Siempre
Que fuerte está latiendo mi corazón.,Nunca,Ocasional,A veces,Frecuente,Siempre
Sensación de Estreñimiento.,Nunca,Ocasional,A veces,Frecuente,Siempre
Me cuesta coordinar la respiración cuando estoy comiendo.,Nunca,Ocasional,A veces,Frecuente,Siempre
Me cuesta ponerme a hablar cuando estoy comiendo.,Nunca,Ocasional,A veces,Frecuente,Siempre
Mi corazón a menudo late de forma irregular.,Nunca,Ocasional,A veces,Frecuente,Siempre
"Cuando como, la comida parece mas seca y se me pega en la boca o garganta.",Nunca,Ocasional,A veces,Frecuente,Siempre
Siento que me falta el aire.,Nunca,Ocasional,A veces,Frecuente,Siempre
Me cuesta coordinar la respiración al hablar.,Nunca,Ocasional,A veces,Frecuente,Siempre
"Cuando como, me resulta difícil coordinar la deglución.",Nunca,Ocasional,A veces,Frecuente,Siempre
Tengo una tos persistente que me interfiere al hablar y comer.,Nunca,Ocasional,A veces,Frecuente,Siempre
Me atraganto con la saliva de mi boca.,Nunca,Ocasional,A veces,Frecuente,Siempre
Tengo dolores de pecho.,Nunca,Ocasional,A veces,Frecuente,Siempre
Me atraganto cuando estoy comiendo.,Nunca,Ocasional,A veces,Frecuente,Siempre
"Cuando estoy hablando, siento que tengo que toser o tragar saliva.",Nunca,Ocasional,A veces,Frecuente,Siempre
"Cuando respiro, siento que no consigo obtener suficiente oxígeno.",Nunca,Ocasional,A veces,Frecuente,Siempre
Me cuesta controlar mis ojos.,Nunca,Ocasional,A veces,Frecuente,Siempre
Siento ganas de vomitar.,Nunca,Ocasional,A veces,Frecuente,Siempre
Tengo ardor o sensación de acidez de estómago.,Nunca,Ocasional,A veces,Frecuente,Siempre
Estoy estreñido.,Nunca,Ocasional,A veces,Frecuente,Siempre
Siento indigestión.,Nunca,Ocasional,A veces,Frecuente,Siempre
Después de comer tengo problemas con la digestión.,Nunca,Ocasional,A veces,Frecuente,Siempre
Tengo diarrea.,Nunca,Ocasional,A veces,Frecuente,Siempre